Epoch [2], Iter [9], Batch [46], Loss Dec: 6.3638, Loss Rec: 0.0059, Estimator: -0.0260, Disc Acc: 0.75
Epoch [2], Iter [9], Batch [47], Loss Dec: 6.3457, Loss Rec: 0.0056, Estimator: -0.0175, Disc Acc: 0.90
Epoch [2], Iter [9], Batch [48], Loss Dec: 6.4161, Loss Rec: 0.0071, Estimator: -0.0189, Disc Acc: 1.00
Epoch [2], Iter [9], Batch [49], Loss Dec: 6.3179, Loss Rec: 0.0051, Estimator: -0.0220, Disc Acc: 0.95
Epoch [2], Iter [9], Batch [50], Loss Dec: 6.4055, Loss Rec: 0.0066, Estimator: -0.0472, Disc Acc: 0.70
Epoch [2], Iter [9], Batch [51], Loss Dec: 6.3862, Loss Rec: 0.0060, Estimator: -0.0606, Disc Acc: 0.90
Epoch [2], Iter [9], Batch [52], Loss Dec: 6.3968, Loss Rec: 0.0058, Estimator: -0.0494, Disc Acc: 0.90
Epoch [2], Iter [9], Batch [53], Loss Dec: 6.3386, Loss Rec: 0.0060, Estimator: -0.0479, Disc Acc: 0.95
Epoch [2], Iter [9], Batch [54], Loss Dec: 6.3950, Loss Rec: 0.0067, Estimator: -0.0481, Disc Acc: 0.95
Epoch [2], Iter [9], Batch [55], Loss Dec: 6.3745, Loss Rec: 0.0066, Estimator: -0.0484, Disc Acc: 0.95
Epoch [2], Iter [9], Batch [56], Loss Dec: 6.3531, Loss Rec: 0.0054, Estimator: -0.0683, Disc Acc: 0.90
Epoch [2], Iter [9], Batch [57], Loss Dec: 6.3707, Loss Rec: 0.0069, Estimator: -0.0573, Disc Acc: 0.95
Epoch [2], Iter [9], Batch [58], Loss Dec: 6.3485, Loss Rec: 0.0065, Estimator: -0.0618, Disc Acc: 0.90
Epoch [2], Iter [9], Batch [59], Loss Dec: 6.3460, Loss Rec: 0.0059, Estimator: -0.0394, Disc Acc: 0.95
Epoch [2], Iter [9], Batch [60], Loss Dec: 6.3809, Loss Rec: 0.0062, Estimator: -0.0330, Disc Acc: 1.00
Epoch [2], Iter [9], Batch [61], Loss Dec: 6.3906, Loss Rec: 0.0056, Estimator: -0.0662, Disc Acc: 0.95
